* The creation date is when the packet is merged or reviewed completely. It may differ from the date the packet was actually collected.,,,,,,,,,
"** The target device is the device which is being attacked. (It may be the device which ""performs"" attack for Mirai Botnet categories, exceptionally.)",,,,,,,,,
No.,File Name,Creation Date*,File Size (KB),Target Device**,Category,Sub-category,Wireshark Rule to Filter Only Attack Packets,# Total Packets,# Attack Packets
27,mirai-udpflooding-2-dec.pcap,08/01/2019,93868,"EZVIZ (performs), external server (target)",Mirai Botnet,UDP Flooding,ip.dst == 210.89.164.90,175694,69779
28,mirai-udpflooding-3-dec.pcap,08/01/2019,45618,"NUGU (performs), external server (target)",Mirai Botnet,UDP Flooding,ip.dst == 210.89.164.90,417863,404863
29,mirai-udpflooding-4-dec.pcap,08/01/2019,93868,"NUGU (performs), external server (target)",Mirai Botnet,UDP Flooding,ip.dst == 210.89.164.90,175694,69779
30,mirai-ackflooding-1-dec.pcap,08/01/2019,12058,"EZVIZ (performs), external server (target)",Mirai Botnet,ACK Flooding,ip.dst == 210.89.164.90,42594,29594
31,mirai-ackflooding-2-dec.pcap,08/01/2019,88760,"EZVIZ (performs), external server (target)",Mirai Botnet,ACK Flooding,ip.dst == 210.89.164.90,114137,8222
32,mirai-ackflooding-3-dec.pcap,08/01/2019,12058,"NUGU (performs), external server (target)",Mirai Botnet,ACK Flooding,ip.dst == 210.89.164.90,42594,29594
33,mirai-ackflooding-4-dec.pcap,08/01/2019,88760,"NUGU (performs), external server (target)",Mirai Botnet,ACK Flooding,ip.dst == 210.89.164.90,114137,8222
34,mirai-httpflooding-1-dec.pcap,08/01/2019,10093,"EZVIZ (performs), external server (target)",Mirai Botnet,HTTP Flooding,ip.dst == 210.89.164.90,13764,764
35,mirai-httpflooding-2-dec.pcap,08/01/2019,88527,"EZVIZ (performs), external server (target)",Mirai Botnet,HTTP Flooding,ip.dst == 210.89.164.90,110383,4468
36,mirai-httpflooding-3-dec.pcap,08/01/2019,10093,"NUGU (performs), external server (target)",Mirai Botnet,HTTP Flooding,ip.dst == 210.89.164.90,13764,764
37,mirai-httpflooding-4-dec.pcap,08/01/2019,88527,"NUGU (performs), external server (target)",Mirai Botnet,HTTP Flooding,ip.dst == 210.89.164.90,110383,4468
38,mirai-hostbruteforce-1-dec.pcap,09/05/2019,130094,"EZVIZ (performs), NUGU (target)",Mirai Botnet,Host Discovery,arp.dst.proto_ipv4 == 192.168.0.0/24 and arp.src.proto_ipv4 == 192.168.0.13 and eth.dst == ff:ff:ff:ff:ff:ff,135146,113
,,,,,Mirai Botnet,Telnet Bruteforce,tcp.dstport==23 and ip.src==192.168.0.13,,176
39,mirai-hostbruteforce-2-dec.pcap,09/05/2019,54785,"NUGU (performs), EZVIZ (target)",Mirai Botnet,Host Discovery,arp.dst.proto_ipv4 == 192.168.0.0/24 and arp.src.proto_ipv4 == 192.168.0.24 and eth.dst == ff:ff:ff:ff:ff:ff,81307,101
,,,,,Mirai Botnet,Telnet Bruteforce,tcp.dstport==23 and ip.src==192.168.0.24,,177
40,mirai-hostbruteforce-3-dec.pcap,09/10/2019,64400,"EZVIZ (performs), NUGU (target)",Mirai Botnet,Host Discovery,arp.dst.proto_ipv4 == 192.168.0.0/24 and arp.src.proto_ipv4 == 192.168.0.13 and eth.dst == ff:ff:ff:ff:ff:ff,93647,210
,,,,,Mirai Botnet,Telnet Bruteforce,tcp.dstport==23 and ip.src==192.168.0.13,,500
41,mirai-hostbruteforce-4-dec.pcap,09/10/2019,77443,"NUGU (performs), EZVIZ (target)",Mirai Botnet,Host Discovery,arp.dst.proto_ipv4 == 192.168.0.0/24 and arp.src.proto_ipv4 == 192.168.0.24 and eth.dst == ff:ff:ff:ff:ff:ff,98691,123
,,,,,Mirai Botnet,Telnet Bruteforce,tcp.dstport==23 and ip.src==192.168.0.24,,560
42,mirai-hostbruteforce-5-dec.pcap,09/10/2019,34958,"EZVIZ (performs), NUGU (target)",Mirai Botnet,Host Discovery,arp.dst.proto_ipv4 == 192.168.0.0/24 and arp.src.proto_ipv4 == 192.168.0.13 and eth.dst == ff:ff:ff:ff:ff:ff,44564,126
,,,,,Mirai Botnet,Telnet Bruteforce,tcp.dstport==23 and ip.src==192.168.0.13,,511
